khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
29Phú Lợi,phường,"Phường Phú Hòa, Phường Phú Lợi, Phường Hiệp Thành (thành phố Thủ Dầu Một)",17.96,Phú Lợi,thành phố Hồ Chí Minh,107721,"438 đường Phú Lợi, khu phố 8, phường Phú Hòa, TP Thủ Dầu Một, tỉnh Bình Dương cũ",18071404
29Thủ Dầu Một,phường,"Phường Phú Cường, Phường Phú Thọ, Phường Chánh Nghĩa, Phường Hiệp Thành (thành phố Thủ Dầu Một), Phường Chánh Mỹ",15.68,Thủ Dầu Một,thành phố Hồ Chí Minh,88132,"1 đường Quang Trung, khu phố 6, phường Phú Cường, TP Thủ Dầu Một, tỉnh Bình Dương cũ",15637769
29Chánh Hiệp,phường,"Phường Định Hòa, Phường Tương Bình Hiệp, Phường Hiệp An, Phường Chánh Mỹ",19.66,Chánh Hiệp,thành phố Hồ Chí Minh,56387,"279 đường Hồ Văn Cống, khu phố 3, phường Tương Bình Hiệp, TP Thủ Dầu Một, tỉnh Bình Dương cũ",20579900
29Bình Dương,phường,"Phường Phú Mỹ (thành phố Thủ Dầu Một), Phường Hòa Phú, Phường Phú Tân, Phường Phú Chánh",58.16,Bình Dương,thành phố Hồ Chí Minh,107576,"357 đường Võ Nguyên Giáp, khu phố 1, phường Hòa Phú, TP Thủ Dầu Một, tỉnh Bình Dương cũ",58565275
29Tây Nam,phường,"Phường An Tây, Xã Thanh Tuyền, Xã An Lập",119.8,Tây Nam,thành phố Hồ Chí Minh,56784,"Khu phố Lồ ồ, phường An Tây, TP Bến Cát, tỉnh Bình Dương cũ",115970479
29Bến Cát,phường,"Xã Tân Hưng (huyện Bàu Bàng), Xã Lai Hưng, Phường Mỹ Phước",100.89,Bến Cát,thành phố Hồ Chí Minh,97928,"KP2, phường Mỹ Phước, TP Bến Cát, tỉnh Bình Dương cũ",100297634
29Long Nguyên,phường,"Phường An Điền, Xã Long Nguyên, Phường Mỹ Phước",108.0,Long Nguyên,thành phố Hồ Chí Minh,53387,"Khu phố Kiến An, phường An Điền, TP Bến Cát, tỉnh Bình Dương cũ",109294217
29Chánh Phú Hòa,phường,"Phường Chánh Phú Hòa, Xã Hưng Hòa",69.54,Chánh Phú Hòa,thành phố Hồ Chí Minh,53916,"đường ĐTT 741, khu phố 9, phường Chánh Phú Hòa, TP Bến Cát, tỉnh Bình Dương cũ",69620501
29Thới Hòa,phường,Không sáp nhập,37.93,Thới Hòa,thành phố Hồ Chí Minh,79601,"Khu phố 3A, phường Thới Hoà, TP Bến Cát, tỉnh Bình Dương cũ",38142097
29Hòa Lợi,phường,"Phường Tân Định (thành phố Bến Cát), Phường Hòa Lợi",33.59,Hòa Lợi,thành phố Hồ Chí Minh,79694,"Khu phố An Hoà, phường Hòa Lợi, TP Bến Cát, tỉnh Bình Dương cũ",34400489
29Phú An,phường,"Phường Tân An, Xã Phú An, Phường Hiệp An",35.19,Phú An,thành phố Hồ Chí Minh,46931,"143 đường Nguyễn Đức Cảnh, khu phố 4, phường Hiệp An, TP Thủ Dầu Một, tỉnh Bình Dương cũ",34784740
29Tân Uyên,phường,"Phường Uyên Hưng, Xã Bạch Đằng, Xã Tân Lập, Xã Tân Mỹ",87.61,Tân Uyên,thành phố Hồ Chí Minh,73032,"ĐT 747, khu phố 1, phường Uyên Hưng, TP Tân Uyên, tỉnh Bình Dương cũ",94532371
29Tân Khánh,phường,"Phường Thạnh Phước, Phường Tân Phước Khánh, Phường Tân Vĩnh Hiệp, Xã Thạnh Hội, Phường Thái Hòa",38.27,Tân Khánh,thành phố Hồ Chí Minh,126393,"Đường Lý Tự trọng, khu phố Khánh Hòa, phường Tân Phước Khánh, TP Tân Uyên, tỉnh Bình Dương cũ",38017773
29Bình Cơ,phường,"Xã Bình Mỹ (huyện Bắc Tân Uyên), Phường Hội Nghĩa",73.69,Bình Cơ,thành phố Hồ Chí Minh,64601,"ĐT 747, khu phố 2, phường Hội Nghĩa, TP Tân Uyên, tỉnh Bình Dương cũ",72999787
29Vĩnh Tân,phường,"Phường Vĩnh Tân, Thị trấn Tân Bình",61.35,Vĩnh Tân,thành phố Hồ Chí Minh,61865,"ĐT 742, khu phố 4, phường Vĩnh Tân, TP Tân Uyên, tỉnh Bình Dương cũ",61323147
29Tân Hiệp,phường,"Phường Khánh Bình, Phường Tân Hiệp",47.06,Tân Hiệp,thành phố Hồ Chí Minh,142494,"Đường Nguyễn Khuyến, khu phố Tân Bình, phường Tân Hiệp, TP Tân Uyên, tỉnh Bình Dương cũ",47253296
29Dĩ An,phường,"Phường An Bình, Phường Dĩ An, Phường Tân Đông Hiệp",21.38,Dĩ An,thành phố Hồ Chí Minh,227817,"10 Trung tâm hành chính, phường Dĩ An, tỉnh Bình Dương cũ",24160470
29Tân Đông Hiệp,phường,"Phường Tân Bình, Phường Thái Hòa, Phường Tân Đông Hiệp",21.45,Tân Đông Hiệp,thành phố Hồ Chí Minh,100243,"880 đường Nguyễn Thị Minh Khai, phường Tân Bình, tỉnh Bình Dương cũ",19161063
29Đông Hòa,phường,"Phường Bình An, Phường Bình Thắng, Phường Đông Hòa",21.89,Đông Hòa,thành phố Hồ Chí Minh,132056,"153 Quốc lộ 1K, phường Đông Hoà, tỉnh Bình Dương cũ",21971509
29Thuận An,phường,"Phường Hưng Định, Phường An Thạnh, Xã An Sơn",16.11,Thuận An,thành phố Hồ Chí Minh,64689,"289 đường Hưng Định 31, khu phố Hưng Thọ, phường Hưng Định, TP Thuận An, tỉnh Bình Dương cũ",16224861
29Lái Thiêu,phường,"Phường Bình Nhâm, Phường Lái Thiêu, Phường Vĩnh Phú",15.46,Lái Thiêu,thành phố Hồ Chí Minh,118852,"Khu phố chợ, phường Lái Thiêu, TP Thuận An, tỉnh Bình Dương cũ",15718689
29Thuận Giao,phường,"Phường Thuận Giao, Phường Bình Chuẩn",16.8,Thuận Giao,thành phố Hồ Chí Minh,150781,"743, đường Thủ Khoa Huân, phường Bình Chuẩn, TP Thuận An, tỉnh Bình Dương cũ",17175334
29An Phú,phường,"Phường An Phú (thành phố Thuận An), Phường Bình Chuẩn",16.85,An Phú,thành phố Hồ Chí Minh,162930,"ĐT743, khu phố 1A, phường An Phú, TP Thuận An, tỉnh Bình Dương cũ",16766215
29Bình Hòa,phường,"Phường Bình Hòa, Phường Vĩnh Phú",18.49,Bình Hòa,thành phố Hồ Chí Minh,120035,"ĐT 743C, khu phố Bình Đức 1, phường Bình Hoà, TP Thuận An, tỉnh Bình Dương cũ",18071000
29Tân Định,phường,"Phường Tân Định (Quận 1), Phường Đa Kao",1.23,Tân Định,thành phố Hồ Chí Minh,48524," 58B Nguyễn Đình Chiểu, phường Đa Kao, quận 1 cũ",1052764
29Sài Gòn,phường,"Phường Bến Nghé, Phường Đa Kao, Phường Nguyễn Thái Bình",3.04,Sài Gòn,thành phố Hồ Chí Minh,47022,"45 - 47 Lê Duẩn, phường Bến Nghé, quận 1 cũ",3466884
29Bến Thành,phường,"Phường Bến Thành, Phường Phạm Ngũ Lão, Phường Cầu Ông Lãnh, Phường Nguyễn Thái Bình",1.85,Bến Thành,thành phố Hồ Chí Minh,71875,"92 Nguyễn Trãi, phường Bến Thành, quận 1 cũ và 238 - 240 Đề Thám, phường Phạm Ngũ Lão, quận 1 cũ ",1628497
29Cầu Ông Lãnh,phường,"Phường Nguyễn Cư Trinh, Phường Cầu Kho, Phường Cô Giang, Phường Cầu Ông Lãnh",1.6,Cầu Ông Lãnh,thành phố Hồ Chí Minh,78734,"105 Trần Đình Xu, phường Nguyễn Cư Trinh, quận 1 cũ",1608078
29Thới An,phường,"Phường Thạnh Xuân, Phường Thới An",14.89,Thới An,thành phố Hồ Chí Minh,125657,"Trụ sở UBND phường Thới An, quận 12 cũ",14924408
29Hiệp Bình,phường,"Phường Hiệp Bình Chánh, Phường Hiệp Bình Phước, Phường Linh Đông",16.01,Hiệp Bình,thành phố Hồ Chí Minh,215638,"721 Quốc lộ 13, khu phố 3, phường Hiệp Bình Phước, TP Thủ Đức cũ",16590689
29Tân Thới Hiệp,phường,"Phường Hiệp Thành (Quận 12), Phường Tân Thới Hiệp",8.06,Tân Thới Hiệp,thành phố Hồ Chí Minh,168060,"Trụ sở UBND phường Tân Thới Hiệp, quận 12 cũ",8075815
29Diên Hồng,phường,"Phường 6, Phường 8 (Quận 10), Phường 14 (Quận 10)",1.86,Diên Hồng,thành phố Hồ Chí Minh,75633," 01A Thành Thái, phường 14, quận 10 cũ",1897665
29Trung Mỹ Tây,phường,"Phường Tân Chánh Hiệp, Phường Trung Mỹ Tây",6.92,Trung Mỹ Tây,thành phố Hồ Chí Minh,126470,"Trụ sở UBND phường Trung Mỹ Tây, quận 12 cũ",6957923
29Đông Hưng Thuận,phường,"Phường Tân Thới Nhất, Phường Tân Hưng Thuận, Phường Đông Hưng Thuận",8.26,Đông Hưng Thuận,thành phố Hồ Chí Minh,182895,"Trụ sở UBND phường Tân Thới Nhất, quận 12 cũ",8313515
29Linh Xuân,phường,"Phường Linh Trung, Phường Linh Xuân, Phường Linh Tây",12.29,Linh Xuân,thành phố Hồ Chí Minh,158334,"1262 Kha Vạn Cân, khu phố 2, phường Linh Trung và 49 Hoàng Cầm, khu phố 2, phường Linh Xuân, TP Thủ Đức cũ",12166611
29Tam Bình,phường,"Phường Bình Chiểu, Phường Tam Phú, Phường Tam Bình",10.71,Tam Bình,thành phố Hồ Chí Minh,153414,"707 Tỉnh lộ 43, khu phố 3, phường Tam Bình, TP Thủ Đức cũ",10203786
29Thủ Đức,phường,"Phường Bình Thọ, Phường Linh Chiểu, Phường Trường Thọ, Phường Linh Tây, Phường Linh Đông",8.81,Thủ Đức,thành phố Hồ Chí Minh,118952,"2 Nguyễn Công Trứ, phường Bình Thọ, TP Thủ Đức cũ",8922207
29Phú Thọ,phường,"Phường 11, Phường 15 (Quận 11), Phường 8 (Quận 11)",1.37,Phú Thọ,thành phố Hồ Chí Minh,47094,"233 - 235 Lê Đại Hành, phường 11, quận 11 và 35-37 Bình Thới, phường 11, quận 11 cũ",1370177
29Long Bình,phường,"Phường Long Bình, Phường Long Thạnh Mỹ",29.43,Long Bình,thành phố Hồ Chí Minh,119637,"325 đường Nguyễn Văn Tăng, phường Long Thạnh Mỹ, TP Thủ Đức cũ",26534293
29Tăng Nhơn Phú,phường,"Phường Tân Phú (thành phố Thủ Đức), Phường Hiệp Phú, Phường Tăng Nhơn Phú A, Phường Tăng Nhơn Phú B, Phường Long Thạnh Mỹ",16.5,Tăng Nhơn Phú,thành phố Hồ Chí Minh,208233,"29 Lê Văn Việt, phường Tăng Nhơn Phú A, TP Thủ Đức cũ",19635840
29Phước Long,phường,"Phường Phước Bình, Phường Phước Long A, Phường Phước Long B",9.23,Phước Long,thành phố Hồ Chí Minh,137331,"183 đường Đỗ Xuân Hợp, phường Phước Long B, TP Thủ Đức cũ",9279679
29Long Phước,phường,"Phường Trường Thạnh, Phường Long Phước",34.29,Long Phước,thành phố Hồ Chí Minh,53092,"239 Khu phố Long Thuận, phường Long Phước, TP Thủ Đức cũ",34224601
29Long Trường,phường,"Phường Phú Hữu, Phường Long Trường",24.49,Long Trường,thành phố Hồ Chí Minh,73669,"1314 đường Nguyễn Duy Trinh, phường Long Trường, TP Thủ Đức cũ",24600183
29An Hội Đông,phường,"Phường 15, Phường 16 (quận Gò Vấp)",3.29,An Hội Đông,thành phố Hồ Chí Minh,113681,"328 Thống Nhất, Phường 16, quận Gò Vấp cũ",3297044
29Gò Vấp,phường,"Phường 10, Phường 17 (quận Gò Vấp)",2.81,Gò Vấp,thành phố Hồ Chí Minh,110850,"332 Quang Trung, phường 10, Quận Gò Vấp cũ",2831360
29An Nhơn,phường,"Phường 5, Phường 6 (quận Gò Vấp)",3.23,An Nhơn,thành phố Hồ Chí Minh,111498,"1C Nguyễn Văn Lượng, phường 6, Gò Vấp cũ",3224904
29An Hội Tây,phường,"Phường 12, Phường 14 (quận Gò Vấp)",3.79,An Hội Tây,thành phố Hồ Chí Minh,121004,"397 Phan Huy Ích, phường 14, quận Gò Vấp cũ",3819041
29Hạnh Thông,phường,"Phường 1, Phường 3 (quận Gò Vấp)",3.37,Hạnh Thông,thành phố Hồ Chí Minh,128865,"306 Nguyễn Văn Nghi, phường 1, quận Gò Vấp cũ",3402806
33Ô Môn,phường,"Phường Châu Văn Liêm, Phường Thới Hòa, Phường Thới An, Xã Thới Thạnh",54.69,Ô Môn,thành phố Cần Thơ,73412,UBND quận Ô Môn,55163592
33Thới Long,phường,"Phường Long Hưng, Phường Tân Hưng, Phường Thới Long",54.1,Thới Long,thành phố Cần Thơ,52979,UBND phường Long Hưng,54583349
33Phước Thới,phường,"Phường Trường Lạc, Phường Phước Thới",53.11,Phước Thới,thành phố Cần Thơ,46788,UBND phường Phước Thới,53604892
31Bình Xuân,phường,"Phường Long Chánh, Xã Bình Xuân",34.4,Bình Xuân,tỉnh Đồng Tháp,32574,UBND phường Long Chánh,34641199
29Thông Tây Hội,phường,"Phường 8, Phường 11 (quận Gò Vấp)",3.24,Thông Tây Hội,thành phố Hồ Chí Minh,121192,"175 Nguyễn văn Khối, phường 8, quận Gò Vấp cũ",3253433
29Bình Lợi Trung,phường,"Phường 5, Phường 11, Phường 13 (quận Bình Thạnh)",3.89,Bình Lợi Trung,thành phố Hồ Chí Minh,116121,"355/5 Nơ Trang Long, phường 13, quận Bình Thạnh cũ",3922489
29Bình Thạnh,phường,"Phường 12, Phường 14 (quận Bình Thạnh), Phường 26",3.32,Bình Thạnh,thành phố Hồ Chí Minh,126300,"6 Phan Đăng Lưu, phường 14, quận Bình Thạnh cũ",3333102
29Thạnh Mỹ Tây,phường,"Phường 19, Phường 22, Phường 25",4.4,Thạnh Mỹ Tây,thành phố Hồ Chí Minh,153217,"85/16 Phạm Viết Chánh, 85/8 Phạm Viết Chánh và 5 Phạm Viết Chánh, quận Bình Thạnh cũ",4499887
29Gia Định,phường,"Phường 1, Phường 2, Phường 7, Phường 17 (quận Bình Thạnh)",2.76,Gia Định,thành phố Hồ Chí Minh,125946,"Tạm thời sử dụng trụ sở UBND phường 7, Bình Thạnh cũ, 58 Hoàng Hoa Thám, phường 7 và trụ sở UBND phường 2 cũ, số 14 Phan Bội Châu, phường 2.
Dự kiến xây dựng trụ sở UBND phường Gia Định tại số 134 Lê Văn Duyệt, phường 1, quận Bình Thạnh cũ",2776275
29Bình Quới,phường,"Phường 27, Phường 28",6.34,Bình Quới,thành phố Hồ Chí Minh,46200,"1 khu hành chính Thanh Đa, phường 27, quận Bình Thạnh cũ",6403599
29Hòa Bình,phường,"Phường 5, Phường 14 (Quận 11)",0.98,Hòa Bình,thành phố Hồ Chí Minh,49863,"347 Lạc Long Quân, phường 5, quận 11 cũ và 416/1 Lạc Long Quân, quận 11 cũ",985947
29Tân Sơn Hòa,phường,"Phường 1, Phường 2, Phường 3 (quận Tân Bình)",2.62,Tân Sơn Hòa,thành phố Hồ Chí Minh,64150,"291 Lê Văn Sỹ, phường 1, quận Tân Bình cũ",2658686
29Vườn Lài,phường,"Phường 1, Phường 2, Phường 4, Phường 9, Phường 10 (Quận 10)",1.27,Vườn Lài,thành phố Hồ Chí Minh,104076,"168 (số cũ 66) Hùng Vương, phường 2, quận 10 cũ",1282371
29Tân Sơn Nhất,phường,"Phường 4, Phường 5, Phường 7 (quận Tân Bình)",3.19,Tân Sơn Nhất,thành phố Hồ Chí Minh,84639,"25/4-6 Hoàng Việt, phường 4, quận Tân Bình cũ",3220060
33Phong Điền,phường,"Thị trấn Phong Điền, Xã Tân Thới, Xã Giai Xuân",45.58,Phong Điền,thành phố Cần Thơ,51949,Huyện ủy Phong Điền,45914398
33Vị Thanh,phường,"Phường I, Phường III, Phường VII",22.11,Vị Thanh,thành phố Cần Thơ,32766,UBND TP Vị Thanh,22293062
29Bảy Hiền,phường,"Phường 10, Phường 11, Phường 12 (quận Tân Bình)",2.86,Bảy Hiền,thành phố Hồ Chí Minh,132252,"1129/20 Lạc Long Quân, phường 11, quận Tân Bình cũ",2763409
29Tân Bình,phường,"Phường 13, Phường 14 (quận Tân Bình), Phường 15 (quận Tân Bình)",2.12,Tân Bình,thành phố Hồ Chí Minh,89373,"387A Trường Chinh, phường 14, quận Tân Bình cũ",2200892
29Tân Hòa,phường,"Phường 6, Phường 8, Phường 9 (quận Tân Bình)",1.47,Tân Hòa,thành phố Hồ Chí Minh,93437,"356 Bắc Hải, phường 6, quận Tân Bình cũ",1483176
29Tân Sơn,phường,Phường 15 (quận Tân Bình),10.12,Tân Sơn,thành phố Hồ Chí Minh,77229,"822 Trường Chinh, phường 15, quận Tân Bình cũ",10233435
29Tân Sơn Nhì,phường,"Phường Tân Sơn Nhì, Phường Sơn Kỳ, Phường Tân Quý, Phường Tân Thành",3.49,Tân Sơn Nhì,thành phố Hồ Chí Minh,117277,"48 Tân Quý, phường Tân Quý, quận Tân Phú  cũ và UBND phường Tân Sơn Nhì cũ (cơ sở 2)",3551510
29Tây Thạnh,phường,"Phường Tây Thạnh, Phường Sơn Kỳ",4.0,Tây Thạnh,thành phố Hồ Chí Minh,72616,"200/12 Nguyễn Hữu Tiến, phường Tây Thạnh, quận Tân Phú cũ và Nhà Văn hóa Lao động (cơ sở 2)",3525085
33Vị Tân,phường,"Phường IV, Phường V, Xã Vị Tân",37.07,Vị Tân,thành phố Cần Thơ,36079,UBND xã Vị Tân,37295069
29Phú Thọ Hòa,phường,"Phường Phú Thọ Hòa, Phường Tân Thành, Phường Tân Quý",3.03,Phú Thọ Hòa,thành phố Hồ Chí Minh,140436,"146 Độc Lập, phường Tân Thành, quận Tân Phú cũ và UBND phường Phú Thọ Hòa cũ (cơ sở 2)",3220832
29Phú Thạnh,phường,"Phường Hiệp Tân, Phường Phú Thạnh, Phường Tân Thới Hòa",2.98,Phú Thạnh,thành phố Hồ Chí Minh,103780,"275 Nguyễn Sơn, phường Phú Thạnh, quận Tân Phú và UBND phường Hiệp Tân cũ (cơ sở 2)",3031811
29Tân Phú,phường,"Phường Phú Trung, Phường Hòa Thạnh, Phường Tân Thới Hòa, Phường Tân Thành",2.52,Tân Phú,thành phố Hồ Chí Minh,93117,"70A Thoại Ngọc Hầu, phường Hòa Thạnh, quận Tân Phú cũ ",2250511
29Đức Nhuận,phường,"Phường 4, Phường 5, Phường 9 (quận Phú Nhuận)",2.16,Đức Nhuận,thành phố Hồ Chí Minh,71495,"744 Nguyễn Kiệm, quận Phú Nhuận cũ",2148127
29Cầu Kiệu,phường,"Phường 1, Phường 2, Phường 7 (quận Phú Nhuận), Phường 15 (quận Phú Nhuận)",1.23,Cầu Kiệu,thành phố Hồ Chí Minh,62663,"18 Đoàn Thị Điểm, quận Phú Nhuận cũ",1314113
29Phú Nhuận,phường,"Phường 8, Phường 10, Phường 11, Phường 13 (quận Phú Nhuận), Phường 15 (quận Phú Nhuận)",1.46,Phú Nhuận,thành phố Hồ Chí Minh,68420,"159 Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận cũ",1385402
29An Khánh,phường,"Phường Thủ Thiêm, Phường An Lợi Đông, Phường Thảo Điền, Phường An Khánh, Phường An Phú (thành phố Thủ Đức)",15.33,An Khánh,thành phố Hồ Chí Minh,76967,"171/1 Lương Định Của, phường An Khánh, TP Thủ Đức cũ",18680670
29Bình Trưng,phường,"Phường Bình Trưng Đông, Phường Bình Trưng Tây, Phường An Phú (thành phố Thủ Đức)",14.82,Bình Trưng,thành phố Hồ Chí Minh,121382,"8 đường Hồ Thị Nhung, khu phố 4, phường Bình Trưng Đông, TP Thủ Đức cũ",11496660
29Cát Lái,phường,"Phường Thạnh Mỹ Lợi, Phường Cát Lái",19.65,Cát Lái,thành phố Hồ Chí Minh,68654,"45 Phan Bá Vành, phường Thạnh Mỹ Lợi, TP Thủ Đức cũ",19636887
29Hòa Hưng,phường,"Phường 12, Phường 13, Phường 15 (Quận 10), Phường 14 (Quận 10)",2.59,Hòa Hưng,thành phố Hồ Chí Minh,96414,"TT20 (số cũ LL1) Tam Đảo, phường 15, quận 10 cũ",2559448
29Nhiêu Lộc,phường,"Phường 9, Phường 11, Phường 12, Phường 14 (Quận 3)",1.71,Nhiêu Lộc,thành phố Hồ Chí Minh,88090,"82 Bà Huyện Thanh Quan, phường 9, quận 3 cũ",1718432
33Đại Thành,phường,"Phường Hiệp Lợi, Xã Tân Thành, Xã Đại Thành",53.0,Đại Thành,thành phố Cần Thơ,34594,UBND TP Ngã Bảy,53382721
29Xuân Hòa,phường,"Phường Võ Thị Sáu, Phường 4 (Quận 3)",2.22,Xuân Hòa,thành phố Hồ Chí Minh,48464,"99 - 99A Trần Quốc Thảo, phường Võ Thị Sáu, quận 3 cũ",2318134
29Bàn Cờ,phường,"Phường 1, Phường 2, Phường 3, Phường 5, Phường 4 (Quận 3)",0.99,Bàn Cờ,thành phố Hồ Chí Minh,67634,"296-298 Nguyễn Thiện Thuật, phường 3, quận 3 cũ",912835
29Bình Thới,phường,"Phường 3, Phường 10 (Quận 11), Phường 8 (Quận 11)",1.52,Bình Thới,thành phố Hồ Chí Minh,55851,"268 - 270 Bình Thới, quận 11 cũ",1523892
29Minh Phụng,phường,"Phường 1, Phường 7, Phường 16 (Quận 11)",1.27,Minh Phụng,thành phố Hồ Chí Minh,74459,"139B Thuận Kiều, quận 11 cũ",1281427
33Sóc Trăng,phường,"Phường 5, Phường 6, Phường 7, Phường 8",41.67,Sóc Trăng,thành phố Cần Thơ,61253,UBND phường 6,41838789
33Phú Lợi,phường,"Phường 1 (thành phố Sóc Trăng), Phường 2 (thành phố Sóc Trăng), Phường 3 (thành phố Sóc Trăng), Phường 4",26.79,Phú Lợi,thành phố Cần Thơ,95516,UBND TP Sóc Trăng,27032478
29Xóm Chiếu,phường,"Phường 13, Phường 16, Phường 18, Phường 15 (Quận 4)",1.94,Xóm Chiếu,thành phố Hồ Chí Minh,57875,"18 Đoàn Như Hài, phường 13, quận 4 cũ",1878575
33Ngã Năm,phường,"Phường 1 (thị xã Ngã Năm), Phường 2 (thị xã Ngã Năm), Xã Vĩnh Quới",95.3,Ngã Năm,thành phố Cần Thơ,58588,UBND thị xã Ngã Năm,95989910
33Mỹ Quới,phường,"Phường 3 (thị xã Ngã Năm), Xã Mỹ Bình, Xã Mỹ Quới",83.91,Mỹ Quới,thành phố Cần Thơ,3024,UBND xã Mỹ Quới,84619878
33Vĩnh Châu,phường,"Phường 1 (thị xã Vĩnh Châu), Phường 2 (thị xã Vĩnh Châu), Xã Lạc Hòa",98.26,Vĩnh Châu,thành phố Cần Thơ,68437,UBND thị xã Vĩnh Châu,104411152
29Khánh Hội,phường,"Phường 8, Phường 9 (Quận 4), Phường 2, Phường 4 (Quận 4), Phường 15 (Quận 4)",1.07,Khánh Hội,thành phố Hồ Chí Minh,94507,"104 Bến Vân Đồn, phường 9, quận 4 cũ",1123926
29Vĩnh Hội,phường,"Phường 1, Phường 3 (Quận 4), Phường 2, Phường 4 (Quận 4)",1.17,Vĩnh Hội,thành phố Hồ Chí Minh,63015,"183 Tôn Thất Thuyết, phường 4 cũ",1193913
33Khánh Hòa,phường,"Phường Khánh Hòa, Xã Vĩnh Hiệp, Xã Hòa Đông",130.48,Khánh Hòa,thành phố Cần Thơ,37634,UBND phường Khánh Hòa,131152410
33Vĩnh Phước,phường,"Phường Vĩnh Phước, Xã Vĩnh Tân",103.15,Vĩnh Phước,thành phố Cần Thơ,51897,UBND phường Vĩnh Phước,106121670
32Long Xuyên,phường,"Phường Mỹ Bình, Phường Mỹ Long, Phường Mỹ Xuyên, Phường Mỹ Phước, Phường Mỹ Quý, Phường Mỹ Hòa",29.98,Long Xuyên,tỉnh An Giang,154858,Phường Mỹ Hòa,30198810
29Chợ Quán,phường,"Phường 1, Phường 2, Phường 4 (Quận 5)",1.28,Chợ Quán,thành phố Hồ Chí Minh,63545,"462-464 An Dương Vương, phường 4, quận 5 cũ",1285859
29An Đông,phường,"Phường 5, Phường 7, Phường 9 (Quận 5)",1.32,An Đông,thành phố Hồ Chí Minh,81229,"209 An Dương Vương, phường 7, quận 5 cũ",1332221
32Bình Đức,phường,"Phường Bình Khánh, Phường Bình Đức, Xã Mỹ Khánh",28.23,Bình Đức,tỉnh An Giang,72822,Phường Bình Khánh (169 Hàm Nghi),28606625
32Mỹ Thới,phường,"Phường Mỹ Thạnh, Phường Mỹ Thới",37.09,Mỹ Thới,tỉnh An Giang,6045,UBND phường Mỹ Thới,37380657
26Lang Biang - Đà Lạt,phường,"Phường 7, Thị trấn Lạc Dương, Xã Lát",323.74,Lang Biang - Đà Lạt,tỉnh Lâm Đồng,đang cập nhật,"Trụ sở huyện ủy, HĐND và UBND huyện Lạc Dương",323280750
29Chợ Lớn,phường,"Phường 11, Phường 12, Phường 13, Phường 14 (Quận 5)",1.67,Chợ Lớn,thành phố Hồ Chí Minh,85066,"131 Triệu Quang Phục, phường 11, quận 5 cũ",1679594
29Bình Tây,phường,"Phường 2, Phường 9 (Quận 6)",1.05,Bình Tây,thành phố Hồ Chí Minh,63293,"178/7R Hậu Giang, phường 2, quận 6 cũ",1087820
26Lâm Viên - Đà Lạt,phường,"Phường 8, Phường 9, Phường 12",35.03,Lâm Viên - Đà Lạt,tỉnh Lâm Đồng,71369,"UBND phường 9, đường - 09 đường Quang Trung",35041220
26Xuân Hương - Đà Lạt,phường,"Phường 1 (thành phố Đà Lạt), Phường 2 (thành phố Đà Lạt), Phường 3, Phường 4, Phường 10",73.45,Xuân Hương - Đà Lạt,tỉnh Lâm Đồng,103178,"Thành ủy Đà Lạt, số 31 Đinh Tiên Hoàng",73506285
26Cam Ly - Đà Lạt,phường,"Phường 5, Phường 6, Xã Tà Nung",80.92,Cam Ly - Đà Lạt,tỉnh Lâm Đồng,48919,"UBND phường 6, 29 Thi Sách",80898725
26Xuân Trường - Đà Lạt,phường,"Phường 11, Xã Xuân Thọ, Xã Xuân Trường, Xã Trạm Hành",168.83,Xuân Trường - Đà Lạt,tỉnh Lâm Đồng,36163,UBND xã Xuân Thọ thôn Đa Lộc,169094560
29Phú Lâm,phường,"Phường 12, Phường 13, Phường 14 (Quận 6)",2.0,Phú Lâm,thành phố Hồ Chí Minh,87513,"241/3 đường Tân Hòa Đông, phường 14, quận 6 cũ",2014314
29Tân Mỹ,phường,"Phường Tân Phú (Quận 7), Phường Phú Mỹ (Quận 7)",6.45,Tân Mỹ,thành phố Hồ Chí Minh,68124,"7 Tân Phú, phường Tân Phú, quận 7 cũ",6546751
29Bình Phú,phường,"Phường 10, Phường 11 (Quận 6), Phường 16 (Quận 8)",2.86,Bình Phú,thành phố Hồ Chí Minh,75925,"15 đường Chợ Lớn, phường, quận 6 cũ",2870876
29Bình Tiên,phường,"Phường 1, Phường 7, Phường 8 (Quận 6)",1.61,Bình Tiên,thành phố Hồ Chí Minh,91520,"107 đường Cao Văn Lầu, phường 1, quận 6 cũ",1601928
29Chánh Hưng,phường,"Phường 4 (Quận 8), Rạch Ông, Phường Hưng Phú, Phường 5 (Quận 8)",4.61,Chánh Hưng,thành phố Hồ Chí Minh,190707,"39 Dương Bạch Mai, phường 5, quận 8 cũ",4684971
29Phú Định,phường,"Phường 14, Phường 15 (Quận 8), Phường Xóm Củi, Phường 16 (Quận 8)",5.85,Phú Định,thành phố Hồ Chí Minh,150389,"184 Lưu Hữu Phước, phường 15, quận 8 cũ",5814683
29Bình Đông,phường,"Phường 6 (Quận 8), Phường 7 (Quận 8), Xã An Phú Tây, Phường 5 (Quận 8)",8.93,Bình Đông,thành phố Hồ Chí Minh,156332,"1094 Tạ Quang Bửu, phường 6, quận 8 cũ",9212481
